Vardas             Pavarde                 ND1       ND2       ND3       ND4       ND5 Egzaminas
Vardas180             Pavarde180          7          3          2          2          2
Vardas181             Pavarde181          1          5          10          5          1
Vardas182             Pavarde182          2          6          8          6          3
Vardas183             Pavarde183          10          6          1          2          3
Vardas184             Pavarde184          4          5          7          2          7
Vardas185             Pavarde185          5          1          1          7          7
Vardas186             Pavarde186          1          7          1          8          6
Vardas187             Pavarde187          3          3          6          5          8
Vardas188             Pavarde188          4          9          8          2          7
Vardas189             Pavarde189          1          9          1          9          5
Vardas190             Pavarde190          3          4          7          6          9
Vardas191             Pavarde191          10          10          8          6          7
Vardas192             Pavarde192          2          4          6          1          6
Vardas193             Pavarde193          10          7          8          10          6
Vardas194             Pavarde194          10          1          1          8          6
Vardas195             Pavarde195          7          6          1          3          8
Vardas196             Pavarde196          3          3          10          2          5
Vardas197             Pavarde197          1          6          3          9          2
Vardas198             Pavarde198          2          1          9          5          5
Vardas199             Pavarde199          9          3          3          8          2
Vardas200             Pavarde200          7          7          2          2          10
Vardas201             Pavarde201          9          7          1          7          5
Vardas202             Pavarde202          7          5          7          7          2
Vardas203             Pavarde203          2          8          8          2          7
Vardas204             Pavarde204          7          7          6          10          1
Vardas205             Pavarde205          5          10          1          3          1
Vardas206             Pavarde206          6          9          3          10          7
Vardas207             Pavarde207          5          8          4          3          8
Vardas208             Pavarde208          1          1          3          1          7
Vardas209             Pavarde209          5          10          8          4          9
Vardas210             Pavarde210          1          7          8          1          8
Vardas211             Pavarde211          4          6          1          9          9
Vardas212             Pavarde212          10          5          7          6          7
Vardas213             Pavarde213          9          10          7          3          7
Vardas214             Pavarde214          3          8          2          8          4
Vardas215             Pavarde215          5          1          9          7          1
Vardas216             Pavarde216          5          9          4          6          4
Vardas217             Pavarde217          8          3          7          5          1
Vardas218             Pavarde218          9          9          4          4          3
Vardas219             Pavarde219          3          9          2          9          9
Vardas220             Pavarde220          6          7          1          8          10
Vardas221             Pavarde221          9          6          6          10          3
Vardas222             Pavarde222          4          9          1          6          3
Vardas223             Pavarde223          5          4          2          4          10
Vardas224             Pavarde224          3          2          3          2          10
Vardas225             Pavarde225          9          4          5          5          10
Vardas226             Pavarde226          3          7          9          4          10
Vardas227             Pavarde227          7          3          2          7          1
Vardas228             Pavarde228          8          6          8          2          1
Vardas229             Pavarde229          2          3          5          2          3
Vardas230             Pavarde230          5          9          9          5          2
Vardas231             Pavarde231          1          2          2          10          5
Vardas232             Pavarde232          1          3          1          8          4
Vardas233             Pavarde233          9          1          2          1          4
Vardas234             Pavarde234          1          9          1          7          10
Vardas235             Pavarde235          1          4          8          5          9
Vardas236             Pavarde236          3          9          9          4          6
Vardas237             Pavarde237          9          1          7          8          2
Vardas238             Pavarde238          1          7          7          6          8
Vardas239             Pavarde239          8          10          2          7          5
Vardas240             Pavarde240          5          1          9          1          10
Vardas241             Pavarde241          3          6          8          5          3
Vardas242             Pavarde242          3          10          1          10          3
Vardas243             Pavarde243          7          9          6          10          6
Vardas244             Pavarde244          4          1          6          8          2
Vardas245             Pavarde245          3          10          2          4          2
Vardas246             Pavarde246          4          8          7          6          8
Vardas247             Pavarde247          6          7          8          8          8
Vardas248             Pavarde248          6          9          5          7          2
Vardas249             Pavarde249          2          9          5          4          3
Vardas250             Pavarde250          7          4          8          7          2
Vardas251             Pavarde251          10          7          2          5          10
Vardas252             Pavarde252          10          6          5          8          1
Vardas253             Pavarde253          8          9          2          5          8
Vardas254             Pavarde254          10          4          4          6          5
Vardas255             Pavarde255          8          5          7          10          8
Vardas256             Pavarde256          6          7          1          3          6
Vardas257             Pavarde257          2          8          1          5          5
Vardas258             Pavarde258          2          10          1          2          1
Vardas259             Pavarde259          8          8          9          1          9
Vardas260             Pavarde260          8          9          3          7          8
Vardas261             Pavarde261          6          2          7          6          4
Vardas262             Pavarde262          9          9          6          4          10
Vardas263             Pavarde263          6          1          10          4          10
Vardas264             Pavarde264          8          6          10          7          5
Vardas265             Pavarde265          8          3          3          2          5
Vardas266             Pavarde266          9          2          2          7          3
Vardas267             Pavarde267          9          10          7          10          3
Vardas268             Pavarde268          10          6          4          4          7
Vardas269             Pavarde269          4          6          7          1          1
Vardas270             Pavarde270          9          4          1          9          9
Vardas271             Pavarde271          7          6          2          1          2
Vardas272             Pavarde272          2          1          2          3          2
Vardas273             Pavarde273          10          8          10          3          8
Vardas274             Pavarde274          10          6          8          4          5
Vardas275             Pavarde275          3          2          2          9          1
Vardas276             Pavarde276          6          7          9          4          3
Vardas277             Pavarde277          8          1          5          10          6
Vardas278             Pavarde278          10          4          9          7          1
Vardas279             Pavarde279          7          3          3          6          10
Vardas280             Pavarde280          1          8          6          5          10
Vardas281             Pavarde281          1          2          5          3          8
Vardas282             Pavarde282          10          8          6          10          3
Vardas283             Pavarde283          2          9          8          6          8
Vardas284             Pavarde284          9          3          8          10          3
Vardas285             Pavarde285          3          5          7          2          6
Vardas286             Pavarde286          10          7          4          8          8
Vardas287             Pavarde287          1          9          6          10          7
Vardas288             Pavarde288          10          6          8          4          8
Vardas289             Pavarde289          10          7          4          4          7
Vardas290             Pavarde290          7          1          4          5          3
Vardas291             Pavarde291          1          7          8          8          2
Vardas292             Pavarde292          2          9          6          1          10
Vardas293             Pavarde293          3          6          3          4          8
Vardas294             Pavarde294          5          9          3          2          3
Vardas295             Pavarde295          10          5          2          3          6
Vardas296             Pavarde296          2          8          9          10          8
Vardas297             Pavarde297          1          3          4          3          9
Vardas298             Pavarde298          3          6          7          1          1
Vardas299             Pavarde299          9          6          5          8          2
Vardas300             Pavarde300          1          10          6          5          6
Vardas301             Pavarde301          10          1          8          4          6
Vardas302             Pavarde302          9          10          5          10          7
Vardas303             Pavarde303          8          6          5          3          10
Vardas304             Pavarde304          4          7          2          8          3
Vardas305             Pavarde305          4          8          6          4          10
Vardas306             Pavarde306          10          1          3          9          2
Vardas307             Pavarde307          9          6          9          8          9
Vardas308             Pavarde308          9          6          7          10          5
Vardas309             Pavarde309          6          10          5          6          10
Vardas310             Pavarde310          10          6          1          8          2
Vardas311             Pavarde311          8          6          9          4          8
Vardas312             Pavarde312          4          10          7          2          4
Vardas313             Pavarde313          4          9          7          3          9
Vardas314             Pavarde314          6          9          2          7          7
Vardas315             Pavarde315          5          6          10          10          8
Vardas316             Pavarde316          4          3          8          1          9
Vardas317             Pavarde317          2          7          9          10          1
Vardas318             Pavarde318          7          1          6          2          2
Vardas319             Pavarde319          10          8          6          3          7
Vardas320             Pavarde320          9          8          6          1          5
Vardas321             Pavarde321          6          10          8          7          7
Vardas322             Pavarde322          1          4          1          9          8
Vardas323             Pavarde323          3          6          4          3          5
Vardas324             Pavarde324          6          6          5          7          8
Vardas325             Pavarde325          3          5          5          5          4
Vardas326             Pavarde326          3          4          1          1          9
Vardas327             Pavarde327          9          2          5          8          2
Vardas328             Pavarde328          7          6          1          1          1
Vardas329             Pavarde329          5          6          6          8          9
Vardas330             Pavarde330          10          8          8          5          6
Vardas331             Pavarde331          8          3          2          7          8
Vardas332             Pavarde332          2          3          7          8          8
Vardas333             Pavarde333          3          5          1          9          8
Vardas334             Pavarde334          6          2          10          8          10
Vardas335             Pavarde335          8          1          2          4          2
Vardas336             Pavarde336          4          9          2          10          7
Vardas337             Pavarde337          10          8          2          8          9
Vardas338             Pavarde338          7          6          10          9          7
Vardas339             Pavarde339          7          5          8          3          1
Vardas340             Pavarde340          5          9          5          3          10
Vardas341             Pavarde341          7          10          8          5          1
Vardas342             Pavarde342          8          1          6          5          1
Vardas343             Pavarde343          3          6          1          4          4
Vardas344             Pavarde344          7          8          5          7          3
Vardas345             Pavarde345          8          2          5          6          8
Vardas346             Pavarde346          9          4          5          1          8
Vardas347             Pavarde347          10          1          3          5          7
Vardas348             Pavarde348          1          2          3          5          6
Vardas349             Pavarde349          8          5          8          5          10
Vardas350             Pavarde350          6          8          4          3          7
Vardas351             Pavarde351          6          1          5          4          6
Vardas352             Pavarde352          7          3          8          1          10
Vardas353             Pavarde353          2          1          8          8          7
Vardas354             Pavarde354          1          1          5          6          3
Vardas355             Pavarde355          2          10          1          9          5
Vardas356             Pavarde356          5          4          7          3          1
Vardas357             Pavarde357          9          7          3          2          3
Vardas358             Pavarde358          7          1          9          9          2
Vardas359             Pavarde359          2          3          3          9          9
Vardas360             Pavarde360          7          1          8          2          3
Vardas361             Pavarde361          10          3          4          2          8
Vardas362             Pavarde362          7          2          10          3          7
Vardas363             Pavarde363          9          5          3          8          2
Vardas364             Pavarde364          10          5          10          8          2
Vardas365             Pavarde365          8          1          8          9          7
Vardas366             Pavarde366          6          4          7          4          5
Vardas367             Pavarde367          7          7          5          5          4
Vardas368             Pavarde368          1          7          7          9          8
Vardas369             Pavarde369          4          1          6          10          7
Vardas370             Pavarde370          3          5          10          1          2
Vardas371             Pavarde371          10          9          5          6          2
Vardas372             Pavarde372          1          8          7          4          8
Vardas373             Pavarde373          4          10          7          4          6
Vardas374             Pavarde374          3          7          4          4          4
Vardas375             Pavarde375          6          6          8          3          1
Vardas376             Pavarde376          4          3          1          3          9
Vardas377             Pavarde377          6          4          10          2          4
Vardas378             Pavarde378          1          5          10          7          8
Vardas379             Pavarde379          3          6          3          2          1
Vardas380             Pavarde380          3          2          2          2          4
Vardas381             Pavarde381          10          5          2          9          4
Vardas382             Pavarde382          2          7          4          2          4
Vardas383             Pavarde383          8          5          8          5          8
Vardas384             Pavarde384          6          1          5          7          5
Vardas385             Pavarde385          1          9          1          3          9
Vardas386             Pavarde386          2          8          10          8          9
Vardas387             Pavarde387          4          4          8          10          6
Vardas388             Pavarde388          5          4          8          7          9
Vardas389             Pavarde389          5          1          6          4          8
Vardas390             Pavarde390          1          1          8          7          3
Vardas391             Pavarde391          5          9          1          4          5
Vardas392             Pavarde392          7          4          6          8          3
Vardas393             Pavarde393          5          4          1          6          2
Vardas394             Pavarde394          9          7          3          3          8
Vardas395             Pavarde395          2          5          8          6          5
Vardas396             Pavarde396          3          3          9          10          3
Vardas397             Pavarde397          1          2          2          7          1
Vardas398             Pavarde398          5          9          4          2          4
Vardas399             Pavarde399          1          1          8          4          10
Vardas400             Pavarde400          10          3          4          10          4
Vardas401             Pavarde401          9          10          7          1          4
Vardas402             Pavarde402          8          7          5          5          3
Vardas403             Pavarde403          2          6          5          5          6
Vardas404             Pavarde404          6          2          4          7          2
Vardas405             Pavarde405          2          1          10          2          7
Vardas406             Pavarde406          1          3          1          10          8
Vardas407             Pavarde407          1          5          8          1          2
Vardas408             Pavarde408          9          2          9          6          9
Vardas409             Pavarde409          10          3          7          9          4
Vardas410             Pavarde410          2          7          5          8          3
Vardas411             Pavarde411          3          4          3          9          2
Vardas412             Pavarde412          7          10          6          6          10
Vardas413             Pavarde413          4          5          6          3          2
Vardas414             Pavarde414          10          3          6          10          8
Vardas415             Pavarde415          8          8          6          4          3
Vardas416             Pavarde416          4          7          9          9          3
Vardas417             Pavarde417          6          8          10          3          9
Vardas418             Pavarde418          3          2          5          5          4
Vardas419             Pavarde419          4          4          8          9          10
Vardas420             Pavarde420          1          3          7          9          9
Vardas421             Pavarde421          2          7          6          1          7
Vardas422             Pavarde422          5          2          5          3          7
Vardas423             Pavarde423          9          9          6          4          7
Vardas424             Pavarde424          8          9          7          9          1
Vardas425             Pavarde425          8          10          2          3          8
Vardas426             Pavarde426          4          7          8          10          1
Vardas427             Pavarde427          1          6          10          5          1
Vardas428             Pavarde428          10          6          10          3          3
Vardas429             Pavarde429          6          4          3          7          3
Vardas430             Pavarde430          9          7          4          7          7
Vardas431             Pavarde431          3          3          3          7          10
Vardas432             Pavarde432          8          4          3          5          10
Vardas433             Pavarde433          10          8          10          1          7
Vardas434             Pavarde434          9          6          10          5          2
Vardas435             Pavarde435          9          4          6          3          4
Vardas436             Pavarde436          9          1          2          3          10
Vardas437             Pavarde437          10          8          7          10          2
Vardas438             Pavarde438          7          8          8          4          4
Vardas439             Pavarde439          3          5          6          2          4
Vardas440             Pavarde440          9          7          6          9          2
Vardas441             Pavarde441          2          5          8          9          1
Vardas442             Pavarde442          3          1          10          1          7
Vardas443             Pavarde443          8          7          2          5          6
Vardas444             Pavarde444          10          10          5          1          6
Vardas445             Pavarde445          9          5          5          3          4
Vardas446             Pavarde446          8          3          6          4          3
Vardas447             Pavarde447          2          8          9          7          9
Vardas448             Pavarde448          4          3          9          7          6
Vardas449             Pavarde449          9          9          8          8          2
Vardas450             Pavarde450          4          9          5          8          6
Vardas451             Pavarde451          6          7          9          7          9
Vardas452             Pavarde452          4          8          7          7          10
Vardas453             Pavarde453          8          8          7          4          3
Vardas454             Pavarde454          7          1          4          2          3
Vardas455             Pavarde455          5          2          3          4          3
Vardas456             Pavarde456          6          10          8          10          4
Vardas457             Pavarde457          6          6          9          6          7
Vardas458             Pavarde458          1          2          7          3          9
Vardas459             Pavarde459          6          9          1          7          2
Vardas460             Pavarde460          5          1          10          1          4
Vardas461             Pavarde461          9          3          5          3          3
Vardas462             Pavarde462          10          1          4          2          7
Vardas463             Pavarde463          8          3          4          7          5
Vardas464             Pavarde464          2          3          8          10          10
Vardas465             Pavarde465          10          1          1          2          5
Vardas466             Pavarde466          7          6          6          7          2
Vardas467             Pavarde467          1          5          3          6          5
Vardas468             Pavarde468          8          4          2          7          5
Vardas469             Pavarde469          10          8          5          4          2
Vardas470             Pavarde470          1          7          2          5          6
Vardas471             Pavarde471          10          6          9          7          7
Vardas472             Pavarde472          1          4          9          7          9
Vardas473             Pavarde473          7          4          8          4          7
Vardas474             Pavarde474          4          1          2          8          7
Vardas475             Pavarde475          2          7          6          8          2
Vardas476             Pavarde476          10          2          10          7          4
Vardas477             Pavarde477          7          10          8          9          5
Vardas478             Pavarde478          2          10          6          1          5
Vardas479             Pavarde479          8          3          4          10          2
Vardas480             Pavarde480          4          7          10          10          8
Vardas481             Pavarde481          10          3          10          2          7
Vardas482             Pavarde482          1          7          7          10          3
Vardas483             Pavarde483          6          1          3          5          4
Vardas484             Pavarde484          7          9          1          9          3
Vardas485             Pavarde485          3          9          1          2          5
Vardas486             Pavarde486          2          5          3          2          10
Vardas487             Pavarde487          8          5          3          1          9
Vardas488             Pavarde488          5          10          8          6          9
Vardas489             Pavarde489          7          8          10          1          1
Vardas490             Pavarde490          8          1          7          7          4
Vardas491             Pavarde491          2          3          9          8          2
Vardas492             Pavarde492          10          8          7          5          3
Vardas493             Pavarde493          5          2          6          10          5
Vardas494             Pavarde494          2          2          4          8          2
Vardas495             Pavarde495          6          8          10          8          9
Vardas496             Pavarde496          4          5          9          4          6
Vardas497             Pavarde497          1          9          5          1          8
Vardas498             Pavarde498          8          9          7          3          1
Vardas499             Pavarde499          5          9          3          3          1
Vardas500             Pavarde500          6          2          5          9          6
Vardas501             Pavarde501          1          6          3          9          2
Vardas502             Pavarde502          9          4          7          6          5
Vardas503             Pavarde503          5          10          6          10          7
Vardas504             Pavarde504          8          8          7          5          1
Vardas505             Pavarde505          3          7          3          5          6
Vardas506             Pavarde506          7          7          4          1          5
Vardas507             Pavarde507          10          8          6          1          5
Vardas508             Pavarde508          5          10          3          4          10
Vardas509             Pavarde509          8          8          9          7          9
Vardas510             Pavarde510          10          1          3          1          8
